Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-08,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH2,CH2 Peak Detect
1.520000e-03,0.06,0.06
1.520080e-03,0.06,0.02
1.520160e-03,0.06,0.06
1.520240e-03,0.06,0.02
1.520320e-03,0.06,0.06
1.520400e-03,0.06,0.02
1.520480e-03,0.06,0.06
1.520560e-03,0.06,0.02
1.520640e-03,0.06,0.06
1.520720e-03,0.02,0.02
1.520800e-03,0.02,0.06
1.520880e-03,0.06,0.02
1.520960e-03,0.06,0.06
1.521040e-03,0.06,0.02
1.521120e-03,0.06,0.06
1.521200e-03,0.02,0.02
1.521280e-03,0.06,0.06
1.521360e-03,0.06,-0.02
1.521440e-03,0.02,0.06
1.521520e-03,0.06,0.02
1.521600e-03,0.06,0.1
1.521680e-03,0.06,0.02
1.521760e-03,0.06,0.06
1.521840e-03,0.06,0.02
1.521920e-03,0.02,0.06
1.522000e-03,0.06,0.02
1.522080e-03,0.02,0.06
1.522160e-03,0.02,0.02
1.522240e-03,0.06,0.06
1.522320e-03,0.02,0.02
1.522400e-03,0.02,0.06
1.522480e-03,0.06,0.02
1.522560e-03,0.02,0.06
1.522640e-03,0.02,0.02
1.522720e-03,0.02,0.06
1.522800e-03,0.02,0.02
1.522880e-03,0.02,0.06
1.522960e-03,0.02,0.02
1.523040e-03,0.06,0.06
1.523120e-03,0.06,0.02
1.523200e-03,0.06,0.06
1.523280e-03,0.06,0.02
1.523360e-03,0.02,0.06
1.523440e-03,0.02,0.02
1.523520e-03,0.06,0.06
1.523600e-03,0.06,0.02
1.523680e-03,0.02,0.06
1.523760e-03,0.02,0.02
1.523840e-03,0.06,0.06
1.523920e-03,0.06,0.02
1.524000e-03,0.06,0.06
1.524080e-03,0.06,0.02
1.524160e-03,0.06,0.1
1.524240e-03,0.02,0.02
1.524320e-03,0.06,0.1
1.524400e-03,0.06,0.02
1.524480e-03,0.02,0.06
1.524560e-03,0.06,0.02
1.524640e-03,0.02,0.06
1.524720e-03,0.06,0.02
1.524800e-03,0.02,0.06
1.524880e-03,0.06,0.02
1.524960e-03,0.06,0.06
1.525040e-03,0.06,0.02
1.525120e-03,0.02,0.06
1.525200e-03,0.06,0.02
1.525280e-03,0.06,0.06
1.525360e-03,0.06,0.02
1.525440e-03,0.02,0.06
1.525520e-03,0.06,0.02
1.525600e-03,0.02,0.06
1.525680e-03,0.06,0.02
1.525760e-03,0.06,0.06
1.525840e-03,0.06,0.02
1.525920e-03,0.06,0.06
1.526000e-03,0.06,0.02
1.526080e-03,0.02,0.06
1.526160e-03,0.06,0.02
1.526240e-03,0.06,0.06
1.526320e-03,0.06,0.02
1.526400e-03,0.06,0.1
1.526480e-03,0.06,0.02
1.526560e-03,0.06,0.06
1.526640e-03,0.02,0.02
1.526720e-03,0.06,0.06
1.526800e-03,0.06,0.02
1.526880e-03,0.06,0.06
1.526960e-03,0.02,0.02
1.527040e-03,0.06,0.06
1.527120e-03,0.02,0.02
1.527200e-03,0.06,0.06
1.527280e-03,0.06,0.02
1.527360e-03,0.06,0.06
1.527440e-03,0.06,0.02
1.527520e-03,0.06,0.06
1.527600e-03,0.06,0.02
1.527680e-03,0.02,0.06
1.527760e-03,0.06,0.02
1.527840e-03,0.06,0.06
1.527920e-03,0.06,0.02
1.528000e-03,0.06,0.1
1.528080e-03,0.06,0.02
1.528160e-03,0.06,0.1
1.528240e-03,0.02,0.02
1.528320e-03,0.06,0.06
1.528400e-03,0.02,0.02
1.528480e-03,0.02,0.06
1.528560e-03,0.02,0.02
1.528640e-03,0.06,0.06
1.528720e-03,0.02,0.02
1.528800e-03,0.06,0.06
1.528880e-03,0.06,0.02
1.528960e-03,0.06,0.06
1.529040e-03,0.06,0.02
1.529120e-03,0.06,0.06
1.529200e-03,0.06,0.02
1.529280e-03,0.06,0.06
1.529360e-03,0.06,0.02
1.529440e-03,0.02,0.06
1.529520e-03,0.06,0.02
1.529600e-03,0.06,0.06
1.529680e-03,0.06,0.02
1.529760e-03,0.06,0.06
1.529840e-03,0.06,0.02
1.529920e-03,0.02,0.06
1.530000e-03,0.06,0.02
1.530080e-03,0.06,0.06
1.530160e-03,0.06,0.02
1.530240e-03,0.06,0.06
1.530320e-03,0.06,0.02
1.530400e-03,0.06,0.06
1.530480e-03,0.06,0.02
1.530560e-03,0.02,0.06
1.530640e-03,0.06,0.02
1.530720e-03,0.02,0.06
1.530800e-03,0.02,0.02
1.530880e-03,0.06,0.06
1.530960e-03,0.02,0.02
1.531040e-03,0.02,0.06
1.531120e-03,0.02,0.02
1.531200e-03,0.06,0.06
1.531280e-03,0.02,0.02
1.531360e-03,0.06,0.06
1.531440e-03,0.06,0.02
1.531520e-03,0.06,0.06
1.531600e-03,0.02,0.02
1.531680e-03,0.02,0.06
1.531760e-03,0.06,0.02
1.531840e-03,0.06,0.06
1.531920e-03,0.06,0.02
1.532000e-03,0.06,0.06
1.532080e-03,0.06,0.02
1.532160e-03,0.06,0.06
1.532240e-03,0.02,0.02
1.532320e-03,0.06,0.06
1.532400e-03,0.02,0.02
1.532480e-03,0.06,0.06
1.532560e-03,0.02,0.02
1.532640e-03,0.06,0.06
1.532720e-03,0.06,0.02
1.532800e-03,0.06,0.06
1.532880e-03,0.02,0.02
1.532960e-03,0.02,0.06
1.533040e-03,0.06,0.02
1.533120e-03,0.02,0.06
1.533200e-03,0.06,0.02
1.533280e-03,0.06,0.1
1.533360e-03,0.06,0.02
1.533440e-03,0.06,0.06
1.533520e-03,0.06,0.02
1.533600e-03,0.02,0.1
1.533680e-03,0.02,0.02
1.533760e-03,0.06,0.06
1.533840e-03,0.06,0.02
1.533920e-03,0.02,0.1
1.534000e-03,0.06,0.02
1.534080e-03,0.06,0.06
1.534160e-03,0.06,0.02
1.534240e-03,0.06,0.06
1.534320e-03,0.06,0.02
1.534400e-03,0.06,0.1
1.534480e-03,0.06,0.02
1.534560e-03,0.06,0.06
1.534640e-03,0.06,0.02
1.534720e-03,0.02,0.06
1.534800e-03,0.06,0.02
1.534880e-03,0.06,0.06
1.534960e-03,0.02,0.02
1.535040e-03,0.06,0.1
1.535120e-03,0.06,0.02
1.535200e-03,0.02,0.06
1.535280e-03,0.02,0.02
1.535360e-03,0.06,0.06
1.535440e-03,0.06,0.02
1.535520e-03,0.02,0.06
1.535600e-03,0.02,0.02
1.535680e-03,0.06,0.06
1.535760e-03,0.02,0.02
1.535840e-03,0.02,0.06
1.535920e-03,0.06,0.02
1.536000e-03,0.06,0.06
1.536080e-03,0.02,0.02
1.536160e-03,0.02,0.06
1.536240e-03,0.06,0.02
1.536320e-03,0.06,0.06
1.536400e-03,0.02,0.02
1.536480e-03,0.06,0.06
1.536560e-03,0.06,0.02
1.536640e-03,0.06,0.06
1.536720e-03,0.06,0.02
1.536800e-03,0.02,0.06
1.536880e-03,0.06,0.02
