Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,8e-07,
Filter Frequency,7e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Label,,
TIME,CH2,CH2 Peak Detect
-4.78160e-02,0.014,0.026
-4.78152e-02,0.014,-0.006
-4.78144e-02,0.014,0.026
-4.78136e-02,0.018,0.002
-4.78128e-02,0.01,0.026
-4.78120e-02,0.01,-0.002
-4.78112e-02,0.01,0.026
-4.78104e-02,0.022,-0.002
-4.78096e-02,0.006,0.026
-4.78088e-02,0.01,-0.006
-4.78080e-02,0.002,0.03
-4.78072e-02,0.014,-0.002
-4.78064e-02,0.014,0.026
-4.78056e-02,0.01,-0.002
-4.78048e-02,0.01,0.026
-4.78040e-02,0.01,-0.002
-4.78032e-02,0.006,0.022
-4.78024e-02,0.014,-0.002
-4.78016e-02,0.006,0.022
-4.78008e-02,0.006,-0.014
-4.78000e-02,0.014,0.034
-4.77992e-02,0.018,-0.002
-4.77984e-02,0.01,0.018
-4.77976e-02,0.01,-0.002
-4.77968e-02,0.01,0.022
-4.77960e-02,0.01,-0.002
-4.77952e-02,0.01,0.026
-4.77944e-02,0.006,0.002
-4.77936e-02,0.014,0.026
-4.77928e-02,0.006,-0.006
-4.77920e-02,0.01,0.03
-4.77912e-02,0.002,-0.002
-4.77904e-02,0.01,0.018
-4.77896e-02,0.006,-0.002
-4.77888e-02,0.01,0.018
-4.77880e-02,0.01,-0.006
-4.77872e-02,0.01,0.022
-4.77864e-02,0.01,0.002
-4.77856e-02,0.01,0.022
-4.77848e-02,0.014,-0.006
-4.77840e-02,0.018,0.034
-4.77832e-02,0.01,0.002
-4.77824e-02,0.014,0.026
-4.77816e-02,0.002,-0.002
-4.77808e-02,0.006,0.022
-4.77800e-02,0.006,-0.002
-4.77792e-02,0.006,0.022
-4.77784e-02,0.006,-0.002
-4.77776e-02,0.006,0.018
-4.77768e-02,0.01,-0.014
-4.77760e-02,0.006,0.026
-4.77752e-02,0.014,-0.002
-4.77744e-02,0.014,0.022
-4.77736e-02,0.01,0.002
-4.77728e-02,0.01,0.026
-4.77720e-02,0.014,0.002
-4.77712e-02,0.014,0.022
-4.77704e-02,0.01,0.002
-4.77696e-02,0.014,0.022
-4.77688e-02,0.014,-0.006
-4.77680e-02,0.014,0.026
-4.77672e-02,0.01,0.002
-4.77664e-02,0.014,0.022
-4.77656e-02,0.01,-0.002
-4.77648e-02,0.01,0.022
-4.77640e-02,0.014,0.002
-4.77632e-02,0.01,0.022
-4.77624e-02,-0.002,-0.002
-4.77616e-02,0.014,0.022
-4.77608e-02,0.006,-0.014
-4.77600e-02,0.01,0.03
-4.77592e-02,0.006,-0.002
-4.77584e-02,0.006,0.022
-4.77576e-02,0.002,-0.002
-4.77568e-02,0.006,0.022
-4.77560e-02,0.01,-0.002
-4.77552e-02,0.014,0.022
-4.77544e-02,-0.002,-0.002
-4.77536e-02,0.01,0.026
-4.77528e-02,0.014,-0.01
-4.77520e-02,0.01,0.034
-4.77512e-02,0.014,-0.002
-4.77504e-02,0.006,0.026
-4.77496e-02,0.006,-0.002
-4.77488e-02,0.006,0.022
-4.77480e-02,0.01,0.002
-4.77472e-02,0.014,0.026
-4.77464e-02,0.006,0.002
-4.77456e-02,0.018,0.022
-4.77448e-02,0.014,-0.01
-4.77440e-02,0.022,0.034
-4.77432e-02,0.002,0.002
-4.77424e-02,0.014,0.022
-4.77416e-02,0.01,-0.006
-4.77408e-02,0.014,0.022
-4.77400e-02,0.01,-0.002
-4.77392e-02,-0.002,0.022
-4.77384e-02,0.014,-0.002
-4.77376e-02,0.01,0.022
-4.77368e-02,0.018,-0.01
-4.77360e-02,0.006,0.03
-4.77352e-02,0.01,-0.002
-4.77344e-02,0.01,0.022
-4.77336e-02,0.002,-0.002
-4.77328e-02,0.018,0.022
-4.77320e-02,0.014,-0.002
-4.77312e-02,0.002,0.026
-4.77304e-02,0.018,-0.002
-4.77296e-02,0.014,0.03
-4.77288e-02,0.01,-0.006
-4.77280e-02,0.006,0.034
-4.77272e-02,0.01,0.002
-4.77264e-02,0.006,0.022
-4.77256e-02,0.014,-0.002
-4.77248e-02,0.006,0.026
-4.77240e-02,0.018,-0.002
-4.77232e-02,-0.01,0.018
-4.77224e-02,0.018,-0.01
-4.77216e-02,0.014,0.034
-4.77208e-02,0.01,-0.01
-4.77200e-02,0.018,0.026
-4.77192e-02,0.014,-0.002
-4.77184e-02,0.014,0.022
-4.77176e-02,0.014,-0.002
-4.77168e-02,0.01,0.022
-4.77160e-02,0.014,-0.002
-4.77152e-02,0.01,0.022
-4.77144e-02,0.01,-0.014
-4.77136e-02,0.002,0.026
-4.77128e-02,0.01,-0.002
-4.77120e-02,0.01,0.022
-4.77112e-02,0.01,-0.002
-4.77104e-02,0.018,0.022
-4.77096e-02,0.006,-0.002
-4.77088e-02,0.014,0.022
-4.77080e-02,0.014,-0.002
-4.77072e-02,0.014,0.022
-4.77064e-02,0.01,-0.006
-4.77056e-02,0.014,0.03
-4.77048e-02,0.01,-0.002
-4.77040e-02,0.01,0.026
-4.77032e-02,0.014,0.002
-4.77024e-02,0.014,0.022
-4.77016e-02,0.01,0.002
-4.77008e-02,0.01,0.022
-4.77000e-02,0.01,-0.002
-4.76992e-02,0.014,0.018
-4.76984e-02,0.01,-0.01
-4.76976e-02,0.01,0.026
-4.76968e-02,0.018,-0.006
-4.76960e-02,0.014,0.022
-4.76952e-02,0.018,-0.002
-4.76944e-02,0.01,0.022
-4.76936e-02,0.01,0.002
-4.76928e-02,0.014,0.026
-4.76920e-02,0.01,-0.002
-4.76912e-02,0.006,0.026
-4.76904e-02,0.01,-0.01
-4.76896e-02,0.01,0.03
-4.76888e-02,0.01,0.002
-4.76880e-02,0.01,0.022
-4.76872e-02,0.006,0.002
-4.76864e-02,0.01,0.026
-4.76856e-02,0.014,-0.002
-4.76848e-02,0.01,0.022
-4.76840e-02,0.006,0.002
-4.76832e-02,0.014,0.022
-4.76824e-02,0.014,-0.014
-4.76816e-02,0.014,0.03
-4.76808e-02,0.01,-0.002
-4.76800e-02,0.01,0.026
-4.76792e-02,0.022,0.002
-4.76784e-02,0.014,0.022
-4.76776e-02,0.01,0.002
-4.76768e-02,0.014,0.022
-4.76760e-02,0.01,0.002
-4.76752e-02,0.022,0.026
-4.76744e-02,0.01,-0.006
-4.76736e-02,0.01,0.03
-4.76728e-02,0.018,-0.002
-4.76720e-02,0.018,0.022
-4.76712e-02,0.006,-0.002
-4.76704e-02,0.006,0.022
-4.76696e-02,0.01,-0.002
-4.76688e-02,0.018,0.022
-4.76680e-02,0.014,0.002
-4.76672e-02,0.022,0.022
-4.76664e-02,0.01,-0.01
-4.76656e-02,0.006,0.03
-4.76648e-02,0.01,-0.002
-4.76640e-02,0.018,0.026
-4.76632e-02,0.018,-0.002
-4.76624e-02,0.014,0.026
-4.76616e-02,0.014,0.002
-4.76608e-02,0.014,0.022
-4.76600e-02,0.018,0.002
-4.76592e-02,0.01,0.022
-4.76584e-02,0.01,-0.01
-4.76576e-02,0.018,0.034
-4.76568e-02,0.018,0.002
-4.76560e-02,0.01,0.022
-4.76552e-02,0.01,-0.002
-4.76544e-02,0.01,0.026
-4.76536e-02,0.014,0.002
-4.76528e-02,0.01,0.026
-4.76520e-02,0.018,0.002
-4.76512e-02,0.006,0.022
-4.76504e-02,0.014,-0.006
-4.76496e-02,0.006,0.034
-4.76488e-02,0.006,-0.002
-4.76480e-02,0.014,0.018
-4.76472e-02,0.018,-0.002
-4.76464e-02,0.01,0.022
-4.76456e-02,0.018,-0.002
-4.76448e-02,0.01,0.022
-4.76440e-02,0.022,-0.002
-4.76432e-02,0.006,0.026
-4.76424e-02,0.01,-0.006
-4.76416e-02,0.01,0.026
-4.76408e-02,0.014,-0.002
-4.76400e-02,0.014,0.022
-4.76392e-02,0.01,-0.002
-4.76384e-02,0.014,0.022
-4.76376e-02,0.014,0.002
-4.76368e-02,0.014,0.022
-4.76360e-02,0.018,-0.002
-4.76352e-02,0.014,0.022
-4.76344e-02,0.014,-0.01
-4.76336e-02,0.01,0.03
-4.76328e-02,0.01,-0.002
-4.76320e-02,0.018,0.018
-4.76312e-02,0.006,0.002
-4.76304e-02,0.01,0.022
-4.76296e-02,0.014,0.002
-4.76288e-02,0.014,0.022
-4.76280e-02,0.018,0.002
-4.76272e-02,0.01,0.022
-4.76264e-02,0.01,-0.01
-4.76256e-02,0.006,0.034
-4.76248e-02,0.01,-0.006
-4.76240e-02,0.006,0.026
-4.76232e-02,0.01,-0.006
-4.76224e-02,0.01,0.018
-4.76216e-02,0.01,-0.002
-4.76208e-02,0.006,0.022
-4.76200e-02,0.01,-0.002
-4.76192e-02,0.018,0.022
-4.76184e-02,0.006,-0.006
-4.76176e-02,0.006,0.034
-4.76168e-02,0.01,0.002
-4.76160e-02,0.006,0.022
-4.76152e-02,0.014,-0.002
-4.76144e-02,0.006,0.026
-4.76136e-02,0.014,-0.002
-4.76128e-02,0.018,0.022
-4.76120e-02,0.01,-0.002
-4.76112e-02,0.014,0.022
-4.76104e-02,0.014,-0.014
-4.76096e-02,0.01,0.026
-4.76088e-02,0.014,0.002
-4.76080e-02,0.018,0.026
-4.76072e-02,0.006,0.002
-4.76064e-02,0.014,0.022
-4.76056e-02,0.014,0.002
-4.76048e-02,0.01,0.022
-4.76040e-02,0.01,-0.002
-4.76032e-02,0.014,0.026
-4.76024e-02,0.014,-0.006
-4.76016e-02,0.014,0.034
-4.76008e-02,0.014,0.002
-4.76000e-02,0.014,0.022
-4.75992e-02,0.014,-0.006
-4.75984e-02,0.006,0.022
-4.75976e-02,0.014,0.002
-4.75968e-02,0.018,0.022
-4.75960e-02,0.014,-0.002
-4.75952e-02,0.01,0.022
-4.75944e-02,0.006,-0.01
-4.75936e-02,0.018,0.03
-4.75928e-02,0.01,-0.002
-4.75920e-02,0.014,0.022
-4.75912e-02,0.01,0.002
-4.75904e-02,0.01,0.022
-4.75896e-02,0.01,-0.002
-4.75888e-02,0.014,0.022
-4.75880e-02,0.006,-0.002
-4.75872e-02,0.01,0.022
-4.75864e-02,0.01,-0.006
-4.75856e-02,0.01,0.034
-4.75848e-02,0.01,-0.002
-4.75840e-02,0.01,0.026
-4.75832e-02,0.014,0.002
-4.75824e-02,0.022,0.022
